mahalle;semt_bucak_belde_id
KAYMAKAM HASAN TÜTÜN MAH.;311
KORUPINAR MAH.;311
OYALI MAH.;311
PINARBAŞI MAH.;311
PINARBAŞIOSB MAH.;311
YENİ BESNİ MAH.;311
YUKARI SARHAN MAH.;311
ABIMISTIK MAH.;439
AKDURAK KÖYÜ;439
AKKUYU KÖYÜ;439
AKTEPE KÖYÜ;439
ALIÇLI KÖYÜ;439
AŞAĞISÖĞÜTLÜ MAH.;439
ATATÜRK MAH.;439
BOYBEYPINARI MAH.;439
CAMUŞÇU KÖYÜ;439
CUMHURİYET MAH.;439
ÇAKIRHÜYÜK KÖYÜ;439
ÇAKMAK MAH.;439
ÇOMAK KÖYÜ;439
FATİH MAH.;439
GÖNDERME MAH.;439
HASANLI KÖYÜ;439
HÖYÜK MAH.;439
HÜRRİYET MAH.;439
İNCE MAH.;439
İNÖNÜ MAH.;439
İZNİK MAH.;439
İZOLLU KÖYÜ;439
KARGALI KÖYÜ;439
